words,links,capital_words,spam_word_count,is_spam
168,2,1,2,0
280,2,3,2,0
367,3,2,2,0
685,3,24,10,1
649,9,5,9,1
794,2,11,9,1
428,9,5,2,1
119,0,2,0,0
432,0,2,0,0
224,1,6,2,0
319,1,3,2,0
755,10,26,5,1
761,5,29,7,1
411,2,3,2,0
469,0,10,3,1
795,4,9,6,1
661,7,14,7,1
172,1,2,4,0
75,0,2,10,1
260,2,2,0,0
370,1,1,0,0
638,7,25,9,1
295,0,1,0,0
174,1,2,2,0
21,0,1,2,0
308,0,2,2,0
816,2,1,2,1
455,2,3,1,0
672,10,7,10,1
371,0,4,6,1
841,4,15,9,1
160,8,6,1,1
156,2,2,1,0
83,1,0,0,0
53,0,1,1,0
458,7,16,8,1
233,5,1,2,0
311,2,23,9,1
195,1,0,0,0
219,0,2,1,0
49,1,2,1,0
972,8,1,8,1
666,3,20,4,1
151,2,2,4,0
93,1,3,0,0
35,1,0,2,0
277,2,0,5,0
253,3,18,7,1
213,7,7,2,1
610,8,20,5,1
733,3,0,5,1
170,5,1,0,0
891,9,28,0,1
565,10,14,10,1
828,4,17,1,1
572,0,5,5,1
56,2,3,0,0
31,0,3,1,0
208,7,14,10,1
613,2,10,9,1
106,8,17,3,1
224,4,26,2,1
565,7,20,1,1
213,2,9,1,0
219,2,7,1,0
205,1,0,5,0
195,9,0,8,1
431,1,18,10,1
232,1,2,1,0
46,1,2,0,0
103,10,5,7,1
812,9,13,7,1
360,2,1,5,0
98,8,16,2,1
837,7,26,3,1
178,3,1,0,0
257,4,3,1,0
49,0,8,1,0
281,1,3,0,0
208,5,3,0,0
88,2,18,8,1
109,1,1,0,0
92,1,1,1,0
171,4,3,0,0
188,2,2,1,0
421,7,17,5,1
167,2,0,2,0
616,4,30,5,1
139,5,11,5,1
804,10,15,3,1
206,5,3,1,0
391,2,2,6,0
47,5,0,0,0
493,3,0,2,0
830,5,29,5,1
61,1,2,2,0
715,2,14,7,1
125,2,3,6,0
32,2,3,2,0
78,1,10,2,0
61,3,0,6,1
186,0,2,1,0
170,6,6,8,1
57,2,0,5,0
138,5,8,7,1
241,0,9,4,0
146,4,28,5,1
252,0,2,4,0
350,7,22,7,1
151,4,10,1,0
254,0,1,1,0
165,1,1,1,0
412,9,22,10,1
733,7,9,9,1
459,1,0,2,0
422,2,1,0,0
959,3,13,10,1
665,7,29,10,1
102,1,2,0,0
496,1,0,0,0
222,3,26,9,1
451,2,19,3,1
196,7,19,1,1
416,3,5,8,1
645,2,9,3,1
622,5,1,7,1
65,7,28,10,1
122,9,5,9,1
149,1,3,2,0
971,10,19,4,1
177,2,3,0,0
560,3,22,9,1
70,7,1,8,1
448,2,11,0,1
92,2,5,1,1
614,4,28,0,1
337,9,25,4,1
181,2,12,2,1
130,0,4,2,0
425,6,2,5,1
296,10,0,10,1
595,0,27,6,1
175,2,2,2,0
156,2,2,5,0
668,9,1,5,1
474,4,13,3,1
545,10,7,0,1
297,2,13,7,1
25,0,2,0,0
313,1,2,1,0
188,2,17,9,1
202,3,8,6,1
69,4,1,3,0
115,6,20,3,1
162,2,4,0,0
158,2,4,1,0
75,0,0,2,0
59,5,3,1,0
298,3,1,2,0
531,0,6,3,1
163,5,0,1,0
307,4,26,10,1
219,0,0,0,0
138,9,5,9,1
268,0,0,2,0
298,2,2,3,0
116,9,28,9,1
199,4,24,8,1
56,2,2,1,0
858,6,1,4,1
337,3,9,7,1
220,2,0,2,0
522,9,16,10,1
65,5,2,2,0
57,1,2,4,0
52,1,1,2,0
29,1,3,2,0
937,4,8,4,1
366,0,5,0,0
88,0,1,1,0
229,1,0,6,0
274,4,3,4,0
279,2,1,1,0
243,2,1,2,0
22,2,0,2,0
513,5,21,8,1
180,2,5,8,1
232,1,0,1,0
69,1,1,2,0
60,1,3,0,0
147,0,0,1,0
82,7,28,9,1
944,2,7,10,1
419,8,8,6,1
178,7,19,9,1
74,2,3,0,0
169,8,25,9,1
297,2,1,2,0
152,3,20,2,1
937,3,20,4,1
277,1,10,0,0
433,4,3,10,1
150,1,10,1,0
52,3,0,2,0
394,1,2,2,0
991,5,26,3,1
112,2,5,0,0
81,1,3,1,0
641,10,14,3,1
161,0,2,0,0
188,1,7,0,0
107,10,11,1,1
139,2,10,0,0
707,3,23,8,1
189,2,3,1,0
193,2,3,1,0
299,7,10,8,1
133,0,1,0,0
660,6,4,7,1
151,4,0,6,1
781,8,22,2,1
695,3,25,10,1
218,1,1,1,0
856,6,4,4,1
892,9,20,3,1
156,3,3,0,0
451,1,29,10,1
263,0,2,2,0
359,0,2,2,0
768,7,19,3,1
393,7,20,4,1
269,2,1,0,0
909,9,12,7,1
114,4,6,7,1
336,3,3,4,0
278,0,2,1,0
96,1,0,0,0
608,4,29,2,1
140,0,2,1,0
106,2,0,6,0
354,2,2,1,0
299,9,2,3,1
40,1,5,0,0
87,0,3,2,0
638,5,22,3,1
213,0,4,0,0
297,10,22,7,1
704,2,9,10,1
301,1,21,3,1
526,2,24,6,1
256,4,3,8,1
108,6,9,2,1
292,1,3,1,0
140,5,5,8,1
504,2,29,7,1
73,2,2,0,0
260,0,0,0,0
29,0,1,2,0
752,6,24,3,1
150,2,3,1,0
793,4,1,2,1
67,8,23,7,1
103,8,6,10,1
237,6,0,5,1
898,2,3,7,1
458,9,16,5,1
955,8,30,7,1
799,7,28,5,1
457,0,2,0,0
750,10,9,3,1
192,1,9,2,0
447,2,0,0,0
425,1,2,0,0
431,4,5,5,1
972,7,13,5,1
497,1,8,1,0
156,8,24,2,1
170,5,21,6,1
280,0,7,0,0
37,1,2,2,0
32,1,3,1,0
159,1,0,2,0
294,0,2,6,0
273,1,0,2,0
127,3,24,5,1
339,2,1,2,0
247,2,0,1,0
45,1,2,1,0
149,3,25,6,1
132,5,3,1,0
136,9,10,3,1
431,6,15,9,1
106,0,3,0,0
108,0,1,6,0
60,1,0,0,0
212,5,1,3,0
123,9,2,6,1
126,4,3,1,0
304,1,6,2,0
26,2,1,1,0
262,2,2,2,0
161,5,5,0,0
192,0,17,7,1
577,6,1,5,1
822,9,20,5,1
316,2,13,8,1
676,5,24,5,1
367,2,2,1,0
885,1,25,4,1
85,0,2,1,0
106,7,8,3,1
214,4,19,9,1
219,1,8,0,0
837,5,2,6,1
184,0,4,0,0
117,1,3,2,0
464,7,9,9,1
192,9,13,8,1
46,0,3,2,0
129,9,5,3,1
527,4,20,9,1
173,2,1,5,0
275,9,3,5,1
63,2,3,2,0
117,7,9,10,1
197,0,0,1,0
38,2,6,1,0
77,5,27,6,1
102,6,19,7,1
958,7,26,7,1
112,7,6,5,1
42,1,3,1,0
240,1,2,1,0
250,2,3,6,0
448,2,10,4,0
179,5,9,9,1
162,9,21,4,1
652,2,9,6,1
221,1,2,2,0
333,3,5,4,1
874,1,1,5,1
345,0,1,1,0
338,6,25,4,1
81,10,24,4,1
288,4,0,4,0
159,1,1,1,0
143,4,5,4,1
630,5,5,4,1
86,0,0,1,0
295,1,2,5,0
403,0,2,0,0
891,3,10,7,1
841,2,28,8,1
458,6,5,6,1
848,8,0,3,1
159,1,8,0,0
271,1,3,6,0
144,1,4,0,0
290,3,2,2,0
667,1,1,7,1
211,1,0,2,0
823,4,7,10,1
910,1,7,4,1
153,0,3,1,0
62,0,3,3,0
426,10,29,2,1
29,2,3,5,0
158,2,1,2,0
832,6,25,1,1
118,1,7,0,0
234,4,29,5,1
594,6,19,3,1
131,2,27,10,1
288,5,1,2,0
225,3,2,1,0
330,10,10,5,1
156,0,0,2,0
207,7,25,8,1
306,1,6,0,0
888,2,8,5,1
122,1,3,1,0
280,2,2,2,0
405,1,3,2,0
84,4,2,2,0
38,0,0,2,0
88,7,24,7,1
488,2,0,1,0
200,3,2,0,0
670,2,13,10,1
331,3,1,5,1
265,2,1,0,0
178,0,0,1,0
647,2,5,1,1
159,0,1,2,0
919,0,16,8,1
356,2,1,8,1
868,9,14,5,1
297,0,2,2,0
260,1,1,1,0
39,1,0,0,0
286,4,3,2,0
256,1,3,1,0
226,0,25,8,1
89,10,28,4,1
153,4,1,1,0
263,2,3,0,0
239,1,3,6,0
81,10,0,8,1
293,2,0,1,0
218,2,5,0,0
200,1,5,1,0
352,0,1,2,0
210,4,0,1,0
440,3,25,0,1
185,0,3,1,0
54,5,12,7,1
220,5,3,1,0
25,4,0,5,0
266,3,15,6,1
285,2,6,2,0
138,0,0,2,0
318,9,12,0,1
114,7,5,7,1
962,10,8,3,1
214,0,2,3,0
597,7,16,3,1
230,0,3,2,0
94,0,0,0,0
969,4,26,6,1
355,5,13,4,1
325,2,3,0,0
833,1,19,7,1
215,2,1,1,0
227,3,1,1,0
884,4,5,8,1
314,0,8,5,1
432,9,29,10,1
871,8,6,6,1
289,0,0,2,0
240,1,0,2,0
214,0,1,2,0
282,0,5,6,0
146,3,11,4,1
510,4,21,9,1
110,5,0,2,0
550,4,19,4,1
106,3,3,1,0
398,2,3,4,0
137,2,0,0,0
776,10,9,3,1
130,2,9,3,1
66,3,26,9,1
130,1,3,2,0
187,4,9,5,1
217,2,1,1,0
161,2,1,1,0
98,2,2,0,0
764,6,14,10,1
162,1,1,3,0
394,8,27,9,1
352,2,0,5,0
30,0,2,4,0
82,2,2,1,0
552,0,13,4,1
115,0,3,0,0
464,2,3,1,0
101,1,7,7,1
658,6,27,10,1
176,1,8,1,0
495,1,1,3,0
280,0,2,6,0
190,9,22,8,1
653,6,21,2,1
192,3,9,9,1
283,8,30,1,1
234,4,25,5,1
371,0,1,3,1
250,1,4,1,0
33,1,6,1,0
820,10,5,9,1
190,2,27,9,1
259,3,3,2,0
184,1,0,8,1
765,1,26,10,1
194,0,3,5,0
507,3,3,10,1
67,7,22,9,1
324,5,25,8,1
721,4,21,9,1
271,4,1,0,0
600,8,15,6,1
208,0,0,1,0
80,0,2,6,0
429,2,24,6,1
568,8,20,0,1
45,2,3,4,0
39,0,4,0,0
99,0,1,1,0
181,1,4,3,0
739,3,5,1,1
874,8,5,8,1
679,10,7,6,1
221,1,0,0,0
291,3,0,6,0
96,2,0,1,0
47,2,0,2,0
141,0,1,1,0
404,1,2,6,0
829,1,6,6,1
303,8,23,8,1
398,1,0,1,0
223,7,21,3,1
294,1,0,1,0
784,2,5,10,1
134,9,2,6,1
195,0,3,2,0
193,6,5,2,1
383,10,10,1,1
412,6,6,4,1
475,1,7,7,1
818,4,11,4,1
99,4,2,0,0
212,1,3,1,0
869,2,18,1,1
289,0,1,1,0
227,2,4,1,0
259,1,7,2,0
256,2,3,2,0
154,2,3,5,0
479,2,2,5,0
193,0,0,2,0
287,4,2,0,0
255,8,21,9,1
179,9,29,3,1
254,0,3,1,0
474,1,2,2,0
368,1,13,4,1
94,1,2,0,0
102,2,0,0,0
279,2,2,5,0
208,1,2,2,0
775,5,12,2,1
109,1,2,2,0
338,8,7,8,1
865,4,1,10,1
195,2,3,0,0
291,0,3,0,0
28,4,0,0,0
198,2,0,0,0
269,3,0,2,0
81,0,9,1,0
670,2,16,2,1
197,2,3,5,0
255,10,7,10,1
149,2,0,0,0
56,0,3,1,0
290,10,18,0,1
491,3,2,2,0
242,2,2,2,0
153,2,4,0,0
720,0,30,3,1
98,5,14,5,1
34,0,0,2,0
168,4,2,1,0
849,0,30,2,1
191,1,1,2,0
640,2,29,7,1
21,1,7,3,0
80,3,1,0,0
95,2,3,0,0
432,9,14,3,1
909,4,25,4,1
92,3,29,10,1
696,4,3,3,1
184,3,2,2,0
183,0,2,0,0
719,9,2,8,1
202,1,1,2,0
211,1,0,0,0
137,2,30,10,1
255,0,24,10,1
182,2,5,2,0
244,2,2,2,0
155,0,7,0,0
176,1,0,0,0
240,0,2,0,0
78,2,0,2,0
173,5,1,2,0
285,2,3,1,0
202,1,5,3,0
392,6,28,9,1
228,1,1,1,0
160,1,3,0,0
83,4,2,1,0
293,2,1,1,0
229,3,24,6,1
793,3,20,3,1
995,2,16,7,1
81,1,1,2,0
243,2,0,1,0
240,1,1,1,0
31,1,0,0,0
693,9,26,2,1
917,6,2,3,1
699,4,11,10,1
143,4,21,2,1
71,5,2,1,0
379,0,3,2,0
162,3,3,5,0
982,6,8,8,1
832,4,16,1,1
60,2,3,2,0
732,6,27,7,1
70,4,5,6,1
459,7,22,7,1
262,2,0,0,0
123,3,5,4,1
128,2,1,3,1
421,10,9,3,1
106,7,11,1,1
172,2,11,10,1
136,6,18,4,1
731,10,3,0,1
316,8,22,4,1
165,3,4,0,0
92,6,11,10,1
33,1,1,1,0
208,2,0,2,0
956,9,10,10,1
71,1,2,2,0
629,4,8,3,1
83,0,3,2,0
781,8,16,7,1
114,1,20,3,1
648,7,21,4,1
295,0,2,1,0
142,0,0,2,0
1000,3,23,3,1
355,1,15,5,1
277,8,15,3,1
76,3,19,7,1
689,10,21,1,1
127,2,5,2,0
432,2,2,4,0
161,8,26,9,1
440,10,5,7,1
137,3,5,8,1
438,4,1,0,0
278,4,0,0,0
451,2,18,7,1
744,6,2,3,1
205,7,13,7,1
69,7,27,6,1
70,2,3,0,0
35,2,0,2,0
860,3,23,5,1
255,1,1,0,0
612,0,22,3,1
237,0,6,0,0
197,3,3,2,0
133,0,20,6,1
520,3,24,0,1
262,1,2,5,0
120,0,17,6,1
487,5,6,3,1
868,7,3,9,1
965,10,10,8,1
173,9,11,1,1
275,0,1,3,0
517,6,6,7,1
225,2,8,2,0
218,3,12,10,1
359,2,1,0,0
245,5,28,7,1
78,2,0,1,0
278,7,18,10,1
741,3,13,10,1
57,5,16,6,1
200,0,0,2,0
510,2,27,3,1
103,1,3,1,0
167,3,4,4,1
131,0,10,4,1
394,3,4,3,1
149,3,30,2,1
134,2,3,2,0
930,0,5,7,1
28,0,0,2,0
97,7,4,6,1
703,9,27,3,1
139,6,3,7,1
370,0,2,2,0
136,0,1,2,0
203,2,3,1,0
100,3,21,1,1
171,1,0,5,1
410,5,0,10,1
118,2,3,0,0
880,5,22,5,1
743,3,4,1,1
122,5,3,3,1
275,1,5,0,0
427,2,2,1,0
327,2,0,10,1
186,2,2,2,0
148,2,15,3,1
269,0,7,0,0
602,2,7,5,1
177,10,6,3,1
168,3,21,3,1
323,9,20,7,1
278,10,11,6,1
290,1,2,2,0
453,1,7,0,1
390,2,3,6,0
971,0,13,3,1
176,5,4,4,1
682,3,13,10,1
187,0,2,0,0
655,7,10,1,1
909,8,13,7,1
163,1,0,1,0
336,4,2,0,0
204,2,2,2,0
70,9,17,1,1
127,2,30,4,1
30,4,1,1,0
242,1,0,0,0
422,5,23,7,1
234,2,2,1,0
200,1,18,6,1
123,4,30,8,1
889,3,16,8,1
109,1,5,2,0
110,1,18,9,1
377,1,11,0,1
720,5,12,2,1
644,8,15,4,1
463,8,7,8,1
247,0,1,4,0
696,7,30,3,1
691,3,26,3,1
211,1,2,0,0
158,0,0,5,0
57,3,24,6,1
532,4,26,3,1
267,2,1,0,0
171,0,1,0,0
64,5,9,2,1
157,1,1,1,0
81,0,2,2,0
260,2,7,1,0
951,8,8,6,1
184,0,1,3,0
54,4,3,1,0
97,0,0,0,0
219,1,8,1,1
217,8,24,2,1
149,1,8,10,1
82,10,8,0,1
106,1,0,2,0
145,0,16,3,1
173,1,7,2,1
678,9,14,8,1
261,0,0,4,0
35,2,3,2,0
809,3,5,10,1
282,4,26,6,1
86,2,3,1,0
180,3,30,5,1
237,1,4,3,1
483,0,2,6,0
53,0,2,4,0
272,1,0,0,0
157,2,0,2,0
110,0,3,1,0
112,2,6,0,0
125,2,12,3,1
205,1,2,0,0
225,4,10,2,0
256,2,1,1,0
622,7,9,1,1
22,0,3,3,0
79,1,0,2,0
326,8,11,4,1
150,0,1,1,0
359,9,2,6,1
797,9,9,6,1
141,2,2,1,0
857,7,6,9,1
125,3,26,2,1
944,10,15,6,1
710,2,6,7,1
113,0,3,2,0
499,4,0,1,1
134,5,3,10,1
508,10,25,5,1
127,2,15,7,1
456,7,24,9,1
107,2,3,2,0
273,4,6,8,1
57,1,10,2,0
409,2,15,3,1
162,4,1,4,0
161,3,26,8,1
490,0,1,6,0
460,2,13,8,1
132,2,5,6,0
155,2,8,1,0
962,8,5,5,1
464,5,0,2,0
88,2,2,0,0
30,1,3,0,0
943,7,30,4,1
126,0,0,1,0
75,1,4,0,0
167,0,2,1,0
164,2,26,10,1
177,4,3,5,0
252,2,1,1,0
412,1,2,2,0
183,2,0,1,0
333,2,2,4,0
196,1,1,2,0
141,2,3,0,0
160,1,2,2,0
132,3,8,5,1
601,7,3,5,1
92,0,1,2,0
184,9,6,3,1
321,6,23,8,1
114,10,28,9,1
248,10,3,3,1
122,1,1,1,0
882,9,23,2,1
218,1,6,2,0
629,7,29,10,1
125,1,0,0,0
174,1,0,4,1
242,2,2,1,0
401,0,3,2,0
45,0,0,5,0
372,9,21,5,1
350,6,3,5,1
372,1,2,2,0
221,1,5,2,0
225,0,3,6,0
231,3,9,9,1
286,1,10,2,0
819,3,28,0,1
119,1,11,5,1
199,2,2,1,0
106,0,1,3,0
935,8,12,5,1
93,9,22,1,1
232,10,26,3,1
255,2,0,0,0
124,1,1,2,0
443,0,3,1,0
426,0,2,1,0
124,1,2,1,0
240,0,3,5,0
936,3,29,4,1
895,5,21,4,1
148,2,9,5,1
102,4,27,10,1
132,3,23,3,1
992,2,7,1,1
199,2,2,0,0
314,0,2,0,0
825,6,21,8,1
186,6,7,7,1
577,3,19,5,1
192,7,13,4,1
353,2,4,2,0
383,4,2,2,0
113,6,18,3,1
191,1,0,2,0
183,2,0,1,0
45,2,3,2,0
78,5,3,2,0
652,10,12,6,1
25,2,3,1,0
91,3,3,0,0
241,2,10,2,0
941,5,16,4,1
174,4,7,2,0
672,5,13,10,1
52,0,2,2,0
867,8,26,10,1
159,2,6,8,1
909,1,25,4,1
291,2,2,4,0
170,2,2,2,0
682,4,16,3,1
897,4,8,3,1
196,4,2,3,0
583,4,19,4,1
169,0,4,1,0
179,2,20,0,1
296,2,28,9,1
391,4,22,4,1
243,4,14,3,1
304,1,7,0,0
310,9,16,1,1
127,0,2,2,0
35,5,1,1,0
214,2,0,6,0
224,5,7,0,0
65,3,2,1,0
210,5,2,1,0
338,2,1,2,0
64,9,24,2,1
546,0,22,7,1
849,1,10,0,1
161,1,3,1,0
565,6,7,7,1
996,8,7,7,1
115,4,10,0,0
194,1,4,5,0
76,1,15,4,1
396,4,16,4,1
65,3,2,7,1
286,0,3,2,0
599,2,18,9,1
333,4,3,3,1
81,10,22,8,1
238,1,2,1,0
192,3,13,5,1
430,1,2,0,0
51,5,7,2,0
245,1,5,5,1
175,1,3,1,0
226,0,2,2,0
186,1,4,2,0
63,1,0,2,0
938,6,0,9,1
39,0,0,0,0
237,8,10,3,1
756,3,28,9,1
179,0,3,0,0
125,1,0,2,0
416,2,0,2,0
905,4,11,8,1
57,2,0,4,0
20,2,3,0,0
268,4,1,1,0
177,3,19,4,1
759,8,11,8,1
203,0,7,2,0
249,5,2,2,0
187,0,2,2,0
168,1,2,0,0
452,6,12,6,1
131,1,2,4,0
836,1,24,8,1
242,0,3,0,0
241,2,19,3,1
672,5,23,4,1
121,1,2,3,0
526,8,23,9,1
139,3,21,4,1
863,2,22,10,1
433,1,2,2,0
479,1,0,1,0
133,0,10,2,0
30,1,2,2,0
638,5,29,8,1
160,3,2,9,1
63,2,17,0,1
718,2,4,8,1
100,2,10,2,1
210,0,0,4,0
867,2,1,8,1
45,2,0,1,0
67,4,7,2,0
599,4,15,10,1
502,10,27,6,1
60,0,9,4,0
182,4,17,0,1
179,2,10,0,0
355,1,27,6,1
59,1,3,2,0
145,0,0,1,0
103,4,3,7,1
785,5,17,4,1
267,1,4,1,0
543,1,4,10,1
435,2,0,1,0
162,8,12,8,1
343,5,0,4,1
540,8,0,8,1
108,10,24,10,1
279,0,1,0,0
352,4,15,4,1
83,2,1,0,0
42,1,1,2,0
233,1,2,0,0
172,3,2,2,0
146,0,2,1,0
68,1,1,2,0
182,1,0,0,0
889,9,11,6,1
679,3,16,5,1
138,0,4,1,0
363,2,0,0,0
568,4,17,10,1
107,1,1,0,0
247,0,2,5,0
277,9,24,8,1
95,6,8,7,1
56,1,4,0,0
229,0,4,6,0
163,6,23,3,1
892,5,6,5,1
243,8,30,7,1
147,0,2,0,0
218,1,3,2,0
539,4,4,3,1
217,2,3,2,0
193,2,0,0,0
171,1,3,1,0
148,3,5,1,0
820,3,20,6,1
22,5,1,0,0
638,10,20,2,1
345,3,3,1,0
328,10,1,4,1
892,7,24,8,1
260,1,1,0,0
121,6,20,9,1
290,0,0,2,0
80,1,3,2,0
31,0,2,5,0
193,2,0,8,1
58,0,2,2,0
174,2,2,3,0
130,6,23,4,1
627,8,8,6,1
92,3,17,5,1
604,5,23,8,1
335,4,21,9,1
299,0,2,0,0
113,3,3,1,0
200,1,1,1,0
301,10,30,3,1
490,1,2,6,0
110,9,12,0,1
101,0,1,6,0
34,2,6,2,0
944,7,0,4,1
34,1,1,1,0
299,1,8,2,0
93,4,0,6,0
